image_id,label_name,text_description,label
24050,Tshirts,Locomotive Men Printed Blue T-shirt,0
13967,Tshirts,Ed Hardy Men Printed Red Tshirts,0
4256,Tshirts,Inkfruit Men Grey Melange Printed T-shirt,0
50194,Tshirts,Gini and Jony Boys Black T-shirt,0
58372,Tshirts,Locomotive Men Beige T-shirt,0
4361,Tshirts,Free Authority Men's Melting Times Blue T-shirt,0
4319,Tshirts,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,0
9961,Tshirts,Nike Men Medals Crew White T-Shirts,0
6724,Tshirts,Locomotive Men's Print Electric Supply Blue T-shirt,0
3110,Tshirts,Probase Men's Western Highway Black T-shirt,0
13966,Tshirts,Ed Hardy Men Solid White Tshirts,0
6272,Tshirts,UCB Men's Contrast Rib Grey T-shirt,0
7988,Tshirts,Fila Men's Round Neck Yellow Black T-shirt,0
22330,Tshirts,John Players Men Stripes White T-Shirt,0
37155,Tshirts,Campbell Men Pack of 3 T-shirt,0
29247,Tshirts,ADIDAS Men Lakers Yellow Jersey,0
8340,Tshirts,Doodle Boy's Volleyball Champion Black White Kidswear,0
53118,Tshirts,Myntra Women Pink T-shirt,0
4082,Tshirts,Inkfruit Men's Avast Ye Beige T-shirt,0
7012,Tshirts,Classic Polo Men's Green Polo With Grey Stripes T-shirt,0
12884,Tshirts,Spykar Men Helmet Grey T-Shirts,0
28844,Tshirts,Proline Men Charcoal T-shirt,0
2091,Tshirts,ADIDAS Mens ESS 3S Polo T-shirt,0
10993,Tshirts,Inkfruit Men Tea Kwon Do Grey Tshirts,0
3779,Tshirts,Status Quo Men's Black Polo T-shirt,0
33304,Tshirts,Gini and Jony Boys Pack of 2 T-shirts,0
2743,Tshirts,Classic Polo Men's White T-shirt,0
2847,Tshirts,Mr.Men Men's Is There More Love Purple T-shirt,0
10465,Tshirts,Flying Machine Men Paisley Purple Tshirts,0
7749,Tshirts,Indigo Nation Men Young Lords Purple T-shirt,0
51370,Tshirts,Spykar Men Black T-shirt,0
37532,Tshirts,Madagascar3 Infant Boys Light Blue T-Shirt,0
4209,Tshirts,Disney Kids Boy's Green Mickey On Skates Kidswear,0
2615,Tshirts,Nike Black Bleed Blue T-shirt,0
31102,Tshirts,Gini and jony Boys Printed Red T-shirt,0
6207,Tshirts,Lee Men's Sheild White T-shirt,0
7817,Tshirts,Proline Men Purple Striped Polo T-shirt,0
23973,Tshirts,Peter England Men Purple Printed T-shirt,0
4371,Tshirts,Mickey Men's Pluto Order Comic Charcoal T-shirt,0
3082,Tshirts,Probase Men's Cartoon Navy T-shirt,0
24275,Tshirts,Quiksilver Men Basic White T-shirt,0
28565,Tshirts,Nike Men Air Bags Blue T-shirt,0
9783,Tshirts,ADIDAS Men Bnce Hop White Tshirts,0
34410,Tshirts,Myntra Men Freak Show Black T-shirt,0
57424,Tshirts,Angry Birds Women Charcoal T-shirt,0
38605,Tshirts,Nike Men Yellow Eligible Athlete T-shirt,0
6551,Tshirts,Nike Men's Miler Singlet Blue T-shirt,0
2861,Tshirts,Inkfruit Men's I am Hooked Green T-shirt,0
32768,Tshirts,Music Men Printed Grey T-shirt,0
42394,Tshirts,Flying Machine Women Purple T-shirt,0
2092,Tshirts,ADIDAS Mens Polo Blue Polo T-shirt,0
23627,Tshirts,Beatles Men White Printed T-Shirt,0
40974,Tshirts,Gini and Jony Boys United Green T-shirt,0
33935,Tshirts,ADIDAS Men Polo Turquoise Blue T-Shirt,0
